bien_id,com_code,bien_type,bien_carrez_1,bien_surfbat,bien_numpieces
04230G14003,4230,Maison,119.9,121,4
04094B53040,4094,Appartement,36.24,38,2
04094B5745,4094,Appartement,25.35,25,1
04143E15377,4143,Appartement,99.22,100,4
04094G155911,4094,Appartement,28.0,28,1
04006AE10230,4006,Appartement,27.45,25,1
04112AZ1222,4112,Maison,245.13,248,8
04205H2245,4205,Appartement,56.04,40,2
04070AK1953,4070,Appartement,50.05,54,2
04189Y77744,4189,Maison,20.5,20,1
04070AK2072,4070,Maison,25.4,110,4
04242ZK2741,4242,Appartement,130.2,114,5
04094C97164,4094,Appartement,17.14,17,1
04226AB22319,4226,Appartement,56.19,58,3
04112BI998,4112,Maison,50.04,49,2
04226AB22190,4226,Appartement,37.71,39,1
04079AC296,4079,Appartement,119.4,116,5
04209AV4711,4209,Appartement,67.58,68,4
05070AI8525,5070,Appartement,46.78,46,2
05153ZC732,5153,Appartement,19.15,22,1
05084A148118,5084,Appartement,23.69,22,1
05177AA176487,5177,Appartement,17.34,17,1
05046AB6281,5046,Appartement,56.2,65,4
05156C2705338,5156,Appartement,59.6,63,4
05177AB11174,5177,Appartement,44.71,43,2
05023AK33816,5023,Appartement,62.38,70,3
05096AC141115,5096,Appartement,49.61,52,3
05177AB1682,5177,Appartement,55.76,35,1
05101C11238,5101,Maison,80.48,47,4
05006D330215,5006,Appartement,26.52,26,1
05070AI8520,5070,Appartement,29.33,29,1
05023AC33629,5023,Appartement,45.08,38,2
05023AL232,5023,Appartement,72.72,82,6
05023AT79420,5023,Appartement,35.18,35,2
05061CO26633,5061,Appartement,25.61,29,2
05139AA9141,5139,Appartement,32.0,32,2
05064K2510,5064,Appartement,69.45,65,3
05023AR6324,5023,Appartement,78.84,78,4
05001AC9472,5001,Appartement,37.09,40,2
05061AK3188,5061,Appartement,65.39,85,3
05161AK309138,5161,Appartement,47.48,61,2
05179AN51112,5179,Appartement,26.1,25,1
05023AP1337,5023,Appartement,40.92,40,1
05004H103128,5004,Appartement,26.0,24,1
05023AH7612,5023,Appartement,67.0,66,4
05096AC361,5096,Appartement,56.5,63,3
05098E271624,5098,Appartement,38.5,39,2
05166AA1497,5166,Appartement,42.7,40,2
05119AA6229,5119,Appartement,16.7,17,1
05023AL368458,5023,Appartement,0.4,26,1
05040B3491,5040,Maison,59.66,69,3
05110F236117,5110,Appartement,21.2,21,1
05061CP9825,5061,Appartement,43.36,45,2
05132D15174,5132,Appartement,56.81,56,3
05046AB73610,5046,Appartement,43.33,43,3
05061CO728,5061,Appartement,32.8,32,2
05093C2141120,5093,Appartement,15.42,14,1
05161AB41329,5161,Appartement,24.64,24,1
05139AA20203,5139,Appartement,28.5,30,2
05023AR9525,5023,Appartement,66.45,66,2
05061BY3113,5061,Appartement,59.9,61,3
05096AC3623,5096,Appartement,54.99,63,3
05096B3085187,5096,Appartement,18.04,16,1
05079AI2525,5079,Appartement,28.56,28,1
05139AA121117,5139,Appartement,23.66,25,1
05017AC2422,5017,Appartement,121.56,122,5
05139AA444,5139,Appartement,30.72,30,2
05096AC17577,5096,Appartement,32.97,33,2
05061CL151120,5061,Appartement,28.61,30,1
05139AA8643,5139,Appartement,30.74,29,2
05179AO2146,5179,Appartement,30.59,31,1
05166AA20541,5166,Appartement,33.5,37,2
05139AA4412,5139,Appartement,30.52,30,2
05065AA18021,5065,Appartement,51.85,50,2
05096AC6835,5096,Appartement,63.2,69,2
05110F236215,5110,Appartement,23.08,24,3
05040C942,5040,Maison,86.49,70,3
05139AA31948,5139,Appartement,36.44,36,2
05098AB22122,5098,Appartement,28.96,30,2
05139AA121178,5139,Appartement,26.42,25,1
05061CD356130,5061,Appartement,49.06,49,2
05040AD3593,5040,Maison,100.11,100,5
05132D18146,5132,Maison,89.03,82,4
05101F126217,5101,Appartement,43.44,44,2
05164AC573,5164,Appartement,119.95,126,4
05085AB113814,5085,Appartement,25.1,62,4
05164AD4723,5164,Appartement,49.55,57,3
05139AA121213,5139,Appartement,26.62,25,1
05139AA20234,5139,Appartement,28.79,28,2
05177AB8980,5177,Appartement,18.63,18,1
05072ZE1145,5072,Appartement,14.0,53,4
05139AA122187,5139,Appartement,16.99,17,1
05023AT87627,5023,Appartement,68.23,66,3
05110D725160,5110,Appartement,21.48,22,2
05110C115055,5110,Appartement,16.9,17,1
05111ZB925,5111,Appartement,101.99,100,4
05046AB2653,5046,Appartement,54.25,61,3
05098AA75194,5098,Appartement,26.78,27,1
05098AB566,5098,Appartement,27.06,27,1
05023AT79431,5023,Appartement,34.97,35,2
05119AA28155,5119,Appartement,18.45,19,1
05119AA290209,5119,Appartement,39.3,39,3
05139L729109,5139,Appartement,35.51,35,2
05061CL8591,5061,Appartement,52.24,45,2
05153ZC24513,5153,Appartement,14.33,16,1
05133XB99190,5133,Appartement,49.21,51,2
05161AD2229,5161,Appartement,39.2,40,3
05098AA10610,5098,Appartement,30.34,31,1
05161AB4395,5161,Appartement,28.32,28,1
06088LA31219,6088,Appartement,99.04,98,4
06088LB29933,6088,Appartement,30.2,95,3
06088LS16999,6088,Appartement,80.25,82,3
06088IM50712,6088,Appartement,72.25,72,4
06088LB29936,6088,Appartement,19.23,19,1
06088KY16421,6088,Appartement,56.45,58,2
06088KV8220,6088,Appartement,18.02,18,1
06088KY13827,6088,Appartement,32.83,33,2
06088LO467240,6088,Appartement,48.23,46,2
06088LB35015,6088,Appartement,34.04,33,1
06088KL4065,6088,Appartement,36.26,36,2
06088LS954,6088,Appartement,69.0,36,3
06114AL2644,6114,Appartement,45.5,41,2
06088IR7404,6088,Appartement,13.69,15,1
06088LP224,6088,Appartement,68.75,68,3
06088KO1717,6088,Appartement,34.31,33,2
06088KM1124,6088,Appartement,68.35,70,3
06088LC34618,6088,Appartement,114.78,111,4
06088LP8212,6088,Appartement,30.76,22,1
06088LB257122,6088,Appartement,78.45,80,4
06088KT20129,6088,Appartement,64.25,62,2
06088IW25723,6088,Appartement,118.14,113,5
06088LE363177,6088,Appartement,133.44,144,4
06088IT7312,6088,Appartement,96.0,130,4
06088IR180602,6088,Appartement,28.32,28,1
06088KI22447,6088,Appartement,93.6,95,3
06088KV1412,6088,Appartement,79.48,76,2
06088KM5822,6088,Appartement,19.88,20,1
06088LO31526,6088,Appartement,43.48,42,1
06088KO2344,6088,Appartement,90.1,91,3
06088LE3348,6088,Appartement,19.11,20,1
06088KO28219,6088,Appartement,24.92,33,2
06088KR11813,6088,Appartement,16.54,16,1
06088KS1125,6088,Appartement,172.21,158,5
06088KR3927,6088,Appartement,36.11,34,1
06088IX14716,6088,Appartement,46.34,46,3
06088KY26534,6088,Appartement,17.05,17,1
06088KV4220,6088,Appartement,131.09,127,4
06088ED29956,6088,Appartement,53.84,55,3
06088KR27416,6088,Appartement,31.2,40,2
06149AC49421,6149,Maison,106.78,83,3
06088LS29217,6088,Appartement,86.82,87,3
06088HD2284004,6088,Appartement,23.13,22,1
06088LC21818,6088,Appartement,78.01,75,3
06088IW20739,6088,Appartement,38.29,34,2
06088LE24019,6088,Appartement,45.51,45,4
06088IW25119,6088,Appartement,33.27,36,2
06088EB180117,6088,Appartement,81.04,86,4
06088LB47439,6088,Appartement,26.51,36,1
06088KO25722,6088,Appartement,73.71,71,5
06088KY12333,6088,Appartement,22.24,23,1
06088LC32157,6088,Appartement,44.01,44,2
06149BA3123,6149,Appartement,25.75,25,2
06088LK26882,6088,Appartement,66.41,66,4
06088LT475,6088,Appartement,68.39,75,3
06088KY27326,6088,Appartement,154.0,130,5
06088LB4998,6088,Appartement,81.26,81,3
06088LT421236,6088,Appartement,54.03,55,2
06149BA332,6149,Appartement,34.81,36,2
06149AE246102,6149,Appartement,48.02,52,2
06088KC3422,6088,Appartement,27.57,30,2
06088KM598,6088,Appartement,44.15,42,3
06088IX4713,6088,Appartement,82.1,95,3
06088IR42258,6088,Appartement,34.65,35,2
06088LS272228,6088,Appartement,37.1,34,2
06088LC2242026,6088,Appartement,53.08,52,2
